,stock_symbol,m_date,gt_index_lag1,adjusted_gt_index_lag1,open_monday,open_tuesday,close_thursday,close_friday,dji_return,percent_change,abs_percent_change,excess_percent_change,abs_excess_percent_change,postive_change_dummy,postive_excess_change_dummy,adjusted_gt_index_lag2,adjusted_gt_index_lag3,adjusted_gt_index_lag4,Monday,Tuesday,Wednesday,Thursday,Friday,open_days,Volume_mean,Volume_std,standarized_weekly_volume,standarized_weekly_volume_lag1,standarized_weekly_volume_lag2,standarized_weekly_volume_lag3
0,AAPL,2013-09-30,20,-0.4207474066437044,68.178574,68.349998,69.058571,69.004288,1.1622447436243395,-1.211104825982434,1.211104825982434,-2.3733495696067735,2.3733495696067735,0.0,0.0,,,,65039100.0,88470900.0,72296000.0,80688300.0,64717100.0,5,53244469.45983379,36201270.37996445,0.5800296597267321,,,
1,AAPL,2013-10-07,19,-0.4745519500704594,69.50856800000001,69.99143199999999,69.94856999999999,70.40142800000002,-1.1135921985195567,-1.2845322896020717,1.2845322896020717,-0.17094009108251496,0.17094009108251496,0.0,0.0,-0.4207474066437044,,,78073100.0,72729300.0,75431300.0,69650700.0,66934700.0,5,53244469.45983379,36201270.37996445,0.533664988476716,0.5800296597267321,,
2,AAPL,2013-10-14,22,-0.3131383197901945,69.975716,71.072861,72.071426,72.69856999999998,-1.1050926750193584,-3.891141321083402,3.8911413210834023,-2.7860486460640432,2.7860486460640432,0.0,0.0,-0.4745519500704594,-0.4207474066437044,,65474500.0,80018400.0,62775300.0,63398300.0,72635500.0,5,53244469.45983379,36201270.37996445,0.4313641586680015,0.533664988476716,0.5800296597267321,
3,AAPL,2013-10-21,25,-0.15172468950992965,73.110001,75.201431,75.987144,75.137146,-1.0970485423732157,-2.7727328303551855,2.7727328303551855,-1.6756842879819698,1.6756842879819698,0.0,0.0,-0.3131383197901945,-0.4745519500704594,-0.4207474066437044,99526700.0,133515900.0,78430800.0,96191200.0,84448000.0,5,53244469.45983379,36201270.37996445,1.2479686504363656,0.4313641586680015,0.533664988476716,0.5800296597267321
4,AAPL,2013-10-28,26,-0.09792014608317468,75.577141,76.610001,74.671425,74.290001,-0.2977635555839238,1.7030810943218846,1.7030810943218848,2.0008446499058086,2.0008446499058086,1.0,1.0,-0.15172468950992965,-0.3131383197901945,-0.4745519500704594,137610200.0,158951800.0,88540900.0,68924100.0,68722500.0,5,53244469.45983379,36201270.37996445,1.4172273514622609,1.2479686504363656,0.4313641586680015,0.533664988476716
5,AAPL,2013-11-04,17,-0.5821610369239694,74.442856,74.940002,73.21285999999998,74.36571500000002,-0.8999313512734688,0.10362444987331389,0.1036244498733139,1.0035558011467827,1.0035558011467827,1.0,1.0,-0.09792014608317468,-0.15172468950992965,-0.3131383197901945,61156900.0,66303300.0,55843900.0,65655100.0,69829200.0,5,53244469.45983379,36201270.37996445,0.2904099892026091,1.4172273514622609,1.2479686504363656,0.4313641586680015
6,AAPL,2013-11-11,16,-0.6359655803507243,74.284286,73.95285799999998,75.451431,74.998573,-1.2844490261830297,-0.9615586801224674,0.9615586801224674,0.3228903460605623,0.3228903460605623,0.0,1.0,-0.5821610369239694,-0.09792014608317468,-0.15172468950992965,56863100.0,51069200.0,49305200.0,70604800.0,79480100.0,5,53244469.45983379,36201270.37996445,0.22706414592333096,0.2904099892026091,1.4172273514622609,1.2479686504363656
7,AAPL,2013-11-18,15,-0.6897701237774793,74.998573,74.147141,74.44856999999998,74.257141,-0.6393008569046372,0.9885948096638972,0.9885948096638973,1.6278956665685345,1.6278956665685345,1.0,1.0,-0.6359655803507243,-0.5821610369239694,-0.09792014608317468,61236000.0,52234700.0,48479200.0,65506700.0,55931400.0,5,53244469.45983379,36201270.37996445,0.09483453216233728,0.22706414592333096,0.2904099892026091,1.4172273514622609
8,AAPL,2013-11-25,16,-0.6359655803507243,74.431427,74.87428299999998,,79.438568,-0.08910049743995091,-6.727186622392722,6.727186622392722,-6.638086124952771,6.638086124952771,0.0,0.0,-0.6897701237774793,-0.6359655803507243,-0.5821610369239694,57327900.0,100345700.0,90862100.0,0.0,79531900.0,4,53244469.45983379,36201270.37996445,0.7947906313279623,0.09483453216233728,0.22706414592333096,0.2904099892026091
9,AAPL,2013-12-02,22,-0.3131383197901945,79.714287,79.757141,81.128571,80.002853,0.4159844739972047,-0.36200035258422747,0.3620003525842274,-0.7779848265814322,0.7779848265814322,0.0,0.0,-0.6359655803507243,-0.6897701237774793,-0.6359655803507243,118136200.0,112742000.0,94452400.0,111895000.0,86088100.0,5,53244469.45983379,36201270.37996445,1.4203443691474316,0.7947906313279623,0.09483453216233728,0.22706414592333096
